row_id,column,error_type,error_value,right_value,missing_value,constraint,tuple_pairs,valid_key,table_difference,source_error_matches_dirty,source_right_matches_clean,source_error_value,source_right_value,annotation_orientation_fixed
98,HospitalType,pattern_violation,acute care hosxitals,acute care hospitals,0,,,True,True,False,False,acute care hospitals,acute care hosxitals,True
101,PhoneNumber,rule_violation,3344x33541,3344933541,0,"Constraint Violation: The HospitalName of Row 101 is equal to the HospitalName of Row 118, and The PhoneNumber of Row 101 is different from the PhoneNumber of Row 118.","(101, 118)",True,True,False,False,3344933541,3344x33541,True
101,MeasureCode,rule_violation,hfx1,hf-1,0,"Constraint Violation: The MeasureName of Row 101 is equal to the MeasureName of Row 361, and The MeasureCode of Row 101 is different from the MeasureCode of Row 361.","(101, 361)",True,True,False,False,hf-1,hfx1,True
106,Address1,rule_violation,702 x maix st,702 n main st,0,"Constraint Violation: The HospitalName of Row 106 is equal to the HospitalName of Row 109, and The Address1 of Row 106 is different from the Address1 of Row 109.","(106, 109)",True,True,False,False,702 n main st,702 x maix st,True
108,MeasureCode,rule_violation,pnx5c,pn-5c,0,"Constraint Violation: The MeasureName of Row 108 is equal to the MeasureName of Row 944, and The MeasureCode of Row 108 is different from the MeasureCode of Row 944.","(108, 944)",True,True,False,False,pn-5c,pnx5c,True
111,MeasureName,rule_violation,surgery patiexts who were takixg heart drugs called beta blockers before comixg to the hospital who were kept ox the beta blockers durixg the period just before axd after their surgery,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,0,"Constraint Violation: The MeasureCode of Row 111 is equal to the MeasureCode of Row 844, and The MeasureName of Row 111 is different from the MeasureName of Row 844.","(111, 844)",True,True,False,False,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,surgery patiexts who were takixg heart drugs called beta blockers before comixg to the hospital who were kept ox the beta blockers durixg the period just before axd after their surgery,True
113,HospitalOwner,rule_violation,volunxary non-profix - privaxe,voluntary non-profit - private,0,"Constraint Violation: The HospitalName of Row 98 is equal to the HospitalName of Row 113, and The HospitalOwner of Row 98 is different from the HospitalOwner of Row 113.","(98, 113)",True,True,False,False,voluntary non-profit - private,volunxary non-profix - privaxe,True
115,Sample,pattern_violation,0 patixnts,0 patients,0,,,True,True,False,False,0 patients,0 patixnts,True
119,State,rule_violation,ax,al,0,"Constraint Violation: The HospitalName of Row 119 is equal to the HospitalName of Row 122, and The PhoneNumber of Row 119 is equal to the PhoneNumber of Row 122, and The HospitalOwner of Row 119 is equal to the HospitalOwner of Row 122, and The State of Row 119 is different from the State of Row 122.","(119, 122)",True,True,False,False,al,ax,True
119,MeasureName,rule_violation,heart attack patients given aspirin at arrivax,heart attack patients given aspirin at arrival,0,"Constraint Violation: The MeasureCode of Row 119 is equal to the MeasureCode of Row 169, and The MeasureName of Row 119 is different from the MeasureName of Row 169.","(119, 169)",True,True,False,False,heart attack patients given aspirin at arrival,heart attack patients given aspirin at arrivax,True
120,MeasureCode,rule_violation,axi-2,ami-2,0,"Constraint Violation: The MeasureName of Row 120 is equal to the MeasureName of Row 981, and The MeasureCode of Row 120 is different from the MeasureCode of Row 981.","(120, 981)",True,True,False,False,ami-2,axi-2,True
120,Score,pattern_violation,x00%,100%,0,,,True,True,False,False,100%,x00%,True
127,Condition,rule_violation,heaxt failuxe,heart failure,0,"Constraint Violation: The MeasureCode of Row 127 is equal to the MeasureCode of Row 474, and The Condition of Row 127 is different from the Condition of Row 474.","(127, 474)",True,True,False,False,heart failure,heaxt failuxe,True
131,HospitalName,rule_violation,crenshaw cxmmunity hxspital,crenshaw community hospital,0,"Constraint Violation: The ProviderNumber of Row 123 is equal to the ProviderNumber of Row 131, and The HospitalName of Row 123 is different from the HospitalName of Row 131.","(123, 131)",True,True,False,False,crenshaw community hospital,crenshaw cxmmunity hxspital,True
133,Sample,pattern_violation,21 pxtients,21 patients,0,,,True,True,False,False,21 patients,21 pxtients,True
136,CountyName,rule_violation,crxnshaw,crenshaw,0,"Constraint Violation: The City of Row 136 is equal to the City of Row 141, and The CountyName of Row 136 is different from the CountyName of Row 141.","(136, 141)",True,True,False,False,crenshaw,crxnshaw,True
137,ZipCode,rule_violation,36x49,36049,0,"Constraint Violation: The HospitalName of Row 124 is equal to the HospitalName of Row 137, and The ZipCode of Row 124 is different from the ZipCode of Row 137.","(124, 137)",True,True,False,False,36049,36x49,True
139,ZipCode,rule_violation,360x9,36049,0,"Constraint Violation: The HospitalName of Row 125 is equal to the HospitalName of Row 139, and The ZipCode of Row 125 is different from the ZipCode of Row 139.","(125, 139)",True,True,False,False,36049,360x9,True
140,State,rule_violation,ax,al,0,"Constraint Violation: The HospitalName of Row 122 is equal to the HospitalName of Row 140, and The PhoneNumber of Row 122 is equal to the PhoneNumber of Row 140, and The HospitalOwner of Row 122 is equal to the HospitalOwner of Row 140, and The State of Row 122 is different from the State of Row 140.","(122, 140)",True,True,False,False,al,ax,True
145,MeasureName,rule_violation,heart attaxk patients given aspirin at disxharge,heart attack patients given aspirin at discharge,0,"Constraint Violation: The MeasureCode of Row 145 is equal to the MeasureCode of Row 692, and The MeasureName of Row 145 is different from the MeasureName of Row 692.","(145, 692)",True,True,False,False,heart attack patients given aspirin at discharge,heart attaxk patients given aspirin at disxharge,True
149,ZipCode,rule_violation,3x640,35640,0,"Constraint Violation: The HospitalName of Row 149 is equal to the HospitalName of Row 163, and The ZipCode of Row 149 is different from the ZipCode of Row 163.","(149, 163)",True,True,False,False,35640,3x640,True
157,ZipCode,rule_violation,3x640,35640,0,"Constraint Violation: The HospitalName of Row 145 is equal to the HospitalName of Row 157, and The ZipCode of Row 145 is different from the ZipCode of Row 157.","(145, 157)",True,True,False,False,35640,3x640,True
157,HospitalOwner,rule_violation,pxopxietaxy,proprietary,0,"Constraint Violation: The HospitalName of Row 150 is equal to the HospitalName of Row 157, and The HospitalOwner of Row 150 is different from the HospitalOwner of Row 157.","(150, 157)",True,True,False,False,proprietary,pxopxietaxy,True
157,EmergencyService,rule_violation,yxs,yes,0,"Constraint Violation: The ZipCode of Row 149 is equal to the ZipCode of Row 157, and The EmergencyService of Row 149 is different from the EmergencyService of Row 157.","(149, 157)",True,True,False,False,yes,yxs,True
158,Score,pattern_violation,9x%,98%,0,,,True,True,False,False,98%,9x%,True
159,HospitalOwner,rule_violation,proxrietary,proprietary,0,"Constraint Violation: The HospitalName of Row 148 is equal to the HospitalName of Row 159, and The HospitalOwner of Row 148 is different from the HospitalOwner of Row 159.","(148, 159)",True,True,False,False,proprietary,proxrietary,True
161,Address1,rule_violation,201 pine sxreex norxhwesx,201 pine street northwest,0,"Constraint Violation: The HospitalName of Row 161 is equal to the HospitalName of Row 168, and The Address1 of Row 161 is different from the Address1 of Row 168.","(161, 168)",True,True,False,False,201 pine street northwest,201 pine sxreex norxhwesx,True
162,HospitalOwner,rule_violation,xroprietary,proprietary,0,"Constraint Violation: The HospitalName of Row 161 is equal to the HospitalName of Row 162, and The HospitalOwner of Row 161 is different from the HospitalOwner of Row 162.","(161, 162)",True,True,False,False,proprietary,xroprietary,True
163,Score,pattern_violation,x7%,57%,0,,,True,True,False,False,57%,x7%,True
164,HospitalOwner,rule_violation,pxopxietaxy,proprietary,0,"Constraint Violation: The HospitalName of Row 145 is equal to the HospitalName of Row 164, and The HospitalOwner of Row 145 is different from the HospitalOwner of Row 164.","(145, 164)",True,True,False,False,proprietary,pxopxietaxy,True
165,State,rule_violation,ax,al,0,"Constraint Violation: The HospitalName of Row 165 is equal to the HospitalName of Row 168, and The PhoneNumber of Row 165 is equal to the PhoneNumber of Row 168, and The HospitalOwner of Row 165 is equal to the HospitalOwner of Row 168, and The State of Row 165 is different from the State of Row 168.","(165, 168)",True,True,False,False,al,ax,True
166,Sample,pattern_violation,xx patients,11 patients,0,,,True,True,False,False,11 patients,xx patients,True
170,Sample,pattern_violation,6xpatients,6 patients,0,,,True,True,False,False,6 patients,6xpatients,True
171,HospitalName,rule_violation,marshall medical cenxer norxh,marshall medical center north,0,"Constraint Violation: The ProviderNumber of Row 171 is equal to the ProviderNumber of Row 184, and The HospitalName of Row 171 is different from the HospitalName of Row 184.","(171, 184)",True,True,False,False,marshall medical center north,marshall medical cenxer norxh,True
175,Address1,rule_violation,8000 alabama xigxway 69,8000 alabama highway 69,0,"Constraint Violation: The HospitalName of Row 175 is equal to the HospitalName of Row 176, and The Address1 of Row 175 is different from the Address1 of Row 176.","(175, 176)",True,True,False,False,8000 alabama highway 69,8000 alabama xigxway 69,True
177,MeasureCode,rule_violation,hf-x,hf-2,0,"Constraint Violation: The MeasureName of Row 27 is equal to the MeasureName of Row 177, and The MeasureCode of Row 27 is different from the MeasureCode of Row 177.","(27, 177)",True,True,False,False,hf-2,hf-x,True
180,City,rule_violation,guntxrsvillx,guntersville,0,"Constraint Violation: The HospitalName of Row 178 is equal to the HospitalName of Row 180, and The City of Row 178 is different from the City of Row 180.","(178, 180)",True,True,False,False,guntersville,guntxrsvillx,True
182,State,rule_violation,xl,al,0,"Constraint Violation: The HospitalName of Row 169 is equal to the HospitalName of Row 182, and The PhoneNumber of Row 169 is equal to the PhoneNumber of Row 182, and The HospitalOwner of Row 169 is equal to the HospitalOwner of Row 182, and The State of Row 169 is different from the State of Row 182.","(169, 182)",True,True,False,False,al,xl,True
187,Score,pattern_violation,95x,95%,0,,,True,True,False,False,95%,95x,True
190,MeasureCode,rule_violation,scip-inx-4,scip-inf-4,0,"Constraint Violation: The MeasureName of Row 190 is equal to the MeasureName of Row 687, and The MeasureCode of Row 190 is different from the MeasureCode of Row 687.","(190, 687)",True,True,False,False,scip-inf-4,scip-inx-4,True
193,Stateavg,rule_violation,al_scix-vte-2,al_scip-vte-2,0,"Constraint Violation: The MeasureCode of Row 193 is equal to the MeasureCode of Row 901, and The Stateavg of Row 193 is different from the Stateavg of Row 901.","(193, 901)",True,True,False,False,al_scip-vte-2,al_scix-vte-2,True
196,ZipCode,rule_violation,3x23x,35235,0,"Constraint Violation: The HospitalName of Row 196 is equal to the HospitalName of Row 213, and The ZipCode of Row 196 is different from the ZipCode of Row 213.","(196, 213)",True,True,False,False,35235,3x23x,True
199,HospitalType,pattern_violation,acute care hosxitals,acute care hospitals,0,,,True,True,False,False,acute care hospitals,acute care hosxitals,True
199,Condition,rule_violation,heaxt attack,heart attack,0,"Constraint Violation: The MeasureCode of Row 199 is equal to the MeasureCode of Row 359, and The Condition of Row 199 is different from the Condition of Row 359.","(199, 359)",True,True,False,False,heart attack,heaxt attack,True
207,City,rule_violation,birmixgham,birmingham,0,"Constraint Violation: The HospitalName of Row 207 is equal to the HospitalName of Row 211, and The City of Row 207 is different from the City of Row 211.","(207, 211)",True,True,False,False,birmingham,birmixgham,True
208,Score,pattern_violation,x5%,95%,0,,,True,True,False,False,95%,x5%,True
210,MeasureName,rule_violation,pneumoniaxpatientsxassessedxandxgivenxinfluenzaxvaccination,pneumonia patients assessed and given influenza vaccination,0,"Constraint Violation: The MeasureCode of Row 185 is equal to the MeasureCode of Row 210, and The MeasureName of Row 185 is different from the MeasureName of Row 210.","(185, 210)",True,True,False,False,pneumonia patients assessed and given influenza vaccination,pneumoniaxpatientsxassessedxandxgivenxinfluenzaxvaccination,True
212,City,rule_violation,bxrmxngham,birmingham,0,"Constraint Violation: The HospitalName of Row 212 is equal to the HospitalName of Row 217, and The City of Row 212 is different from the City of Row 217.","(212, 217)",True,True,False,False,birmingham,bxrmxngham,True
213,ProviderNumber,rule_violation,x00xx,10011,0,"Constraint Violation: The HospitalName of Row 194 is equal to the HospitalName of Row 213, and The ProviderNumber of Row 194 is different from the ProviderNumber of Row 213.","(194, 213)",True,True,False,False,10011,x00xx,True
213,HospitalType,pattern_violation,acutx carx hospitals,acute care hospitals,0,,,True,True,False,False,acute care hospitals,acutx carx hospitals,True
213,Stateavg,rule_violation,al_sxip-inf-2,al_scip-inf-2,0,"Constraint Violation: The MeasureCode of Row 213 is equal to the MeasureCode of Row 760, and The Stateavg of Row 213 is different from the Stateavg of Row 760.","(213, 760)",True,True,False,False,al_scip-inf-2,al_sxip-inf-2,True
216,CountyName,rule_violation,jeffersxn,jefferson,0,"Constraint Violation: The City of Row 216 is equal to the City of Row 672, and The CountyName of Row 216 is different from the CountyName of Row 672.","(216, 672)",True,True,False,False,jefferson,jeffersxn,True
216,HospitalOwner,rule_violation,volunxary non-profix - privaxe,voluntary non-profit - private,0,"Constraint Violation: The HospitalName of Row 194 is equal to the HospitalName of Row 216, and The HospitalOwner of Row 194 is different from the HospitalOwner of Row 216.","(194, 216)",True,True,False,False,voluntary non-profit - private,volunxary non-profix - privaxe,True
217,PhoneNumber,rule_violation,2058x8x122,2058383122,0,"Constraint Violation: The HospitalName of Row 207 is equal to the HospitalName of Row 217, and The PhoneNumber of Row 207 is different from the PhoneNumber of Row 217.","(207, 217)",True,True,False,False,2058383122,2058x8x122,True
218,HospitalOwner,rule_violation,voluntary nonxprofit x private,voluntary non-profit - private,0,"Constraint Violation: The HospitalName of Row 214 is equal to the HospitalName of Row 218, and The HospitalOwner of Row 214 is different from the HospitalOwner of Row 218.","(214, 218)",True,True,False,False,voluntary non-profit - private,voluntary nonxprofit x private,True
219,MeasureName,rule_violation,heartxattackxpatientsxgivenxaspirinxatxarrival,heart attack patients given aspirin at arrival,0,"Constraint Violation: The MeasureCode of Row 44 is equal to the MeasureCode of Row 219, and The MeasureName of Row 44 is different from the MeasureName of Row 219.","(44, 219)",True,True,False,False,heart attack patients given aspirin at arrival,heartxattackxpatientsxgivenxaspirinxatxarrival,True
221,CountyName,rule_violation,dx kalb,de kalb,0,"Constraint Violation: The City of Row 221 is equal to the City of Row 233, and The CountyName of Row 221 is different from the CountyName of Row 233.","(221, 233)",True,True,False,False,de kalb,dx kalb,True
221,HospitalOwner,rule_violation,voluntaryxnon-profitx-xchurch,voluntary non-profit - church,0,"Constraint Violation: The HospitalName of Row 221 is equal to the HospitalName of Row 241, and The HospitalOwner of Row 221 is different from the HospitalOwner of Row 241.","(221, 241)",True,True,False,False,voluntary non-profit - church,voluntaryxnon-profitx-xchurch,True
223,CountyName,rule_violation,xe kalb,de kalb,0,"Constraint Violation: The City of Row 223 is equal to the City of Row 226, and The CountyName of Row 223 is different from the CountyName of Row 226.","(223, 226)",True,True,False,False,de kalb,xe kalb,True
224,Sample,pattern_violation,1 patiexts,1 patients,0,,,True,True,False,False,1 patients,1 patiexts,True
225,Condition,rule_violation,hexrt attxck,heart attack,0,"Constraint Violation: The MeasureCode of Row 25 is equal to the MeasureCode of Row 225, and The Condition of Row 25 is different from the Condition of Row 225.","(25, 225)",True,True,False,False,heart attack,hexrt attxck,True
227,CountyName,rule_violation,dx kalb,de kalb,0,"Constraint Violation: The City of Row 227 is equal to the City of Row 243, and The CountyName of Row 227 is different from the CountyName of Row 243.","(227, 243)",True,True,False,False,de kalb,dx kalb,True
228,City,rule_violation,fort payxe,fort payne,0,"Constraint Violation: The HospitalName of Row 228 is equal to the HospitalName of Row 232, and The City of Row 228 is different from the City of Row 232.","(228, 232)",True,True,False,False,fort payne,fort payxe,True
228,State,pattern_violation,ax,al,0,,,True,True,False,False,al,ax,True
228,PhoneNumber,rule_violation,2568453x50,2568453150,0,"Constraint Violation: The HospitalName of Row 221 is equal to the HospitalName of Row 228, and The PhoneNumber of Row 221 is different from the PhoneNumber of Row 228.","(221, 228)",True,True,False,False,2568453150,2568453x50,True
